date,open,high,low,close
11/1/1983,0.4041,0.4286,0.3861,0.4107
11/2/1983,0.4107,0.4307,0.4107,0.4196
11/3/1983,0.4196,0.422,0.375,0.3905
11/4/1983,0.3905,0.3929,0.375,0.3771
11/7/1983,0.3771,0.3861,0.3705,0.375
11/8/1983,0.3482,0.3482,0.308,0.3193
11/9/1983,0.3193,0.3438,0.3125,0.3438
11/10/1983,0.3438,0.3595,0.3438,0.3505
11/11/1983,0.3505,0.3639,0.3482,0.3571
11/14/1983,0.3571,0.3616,0.3505,0.3527
11/15/1983,0.3527,0.3548,0.3393,0.3527
11/16/1983,0.3527,0.3661,0.3505,0.3571
11/17/1983,0.3571,0.3705,0.3571,0.3661
11/18/1983,0.3661,0.3729,0.3616,0.3682
11/21/1983,0.3682,0.3861,0.3682,0.3839
11/22/1983,0.3839,0.3884,0.3795,0.3839
11/23/1983,0.3839,0.3839,0.3571,0.3639
11/25/1983,0.3639,0.3682,0.3639,0.3661
11/28/1983,0.3661,0.3771,0.3639,0.375
11/29/1983,0.375,0.3839,0.3661,0.3705
11/30/1983,0.3705,0.375,0.3639,0.3639
12/1/1983,0.3639,0.3729,0.3571,0.3616
12/2/1983,0.3616,0.3616,0.3527,0.3548
12/5/1983,0.3548,0.3661,0.3527,0.3639
12/6/1983,0.3639,0.3682,0.3616,0.3661
12/7/1983,0.3661,0.3839,0.3616,0.375
12/8/1983,0.375,0.3952,0.375,0.3839
12/9/1983,0.3839,0.3952,0.3795,0.3861
12/12/1983,0.3861,0.3884,0.375,0.3839
12/13/1983,0.3839,0.4063,0.3818,0.4018
12/14/1983,0.4018,0.422,0.3861,0.4173
12/15/1983,0.4173,0.442,0.4173,0.4354
12/16/1983,0.4354,0.4464,0.433,0.442
12/19/1983,0.442,0.4464,0.4264,0.4286
12/20/1983,0.4286,0.4286,0.4107,0.4173
12/21/1983,0.4173,0.433,0.4152,0.433
12/22/1983,0.433,0.442,0.4307,0.442
12/23/1983,0.442,0.4443,0.433,0.4396
12/27/1983,0.4396,0.4464,0.4396,0.442
12/28/1983,0.442,0.4509,0.4375,0.4464
12/29/1983,0.4464,0.4509,0.4354,0.4354
12/30/1983,0.4354,0.4464,0.433,0.4354
1/3/1984,0.4354,0.4666,0.4354,0.4577
1/4/1984,0.4598,0.5,0.4598,0.4979
1/5/1984,0.4979,0.5179,0.4932,0.5045
1/6/1984,0.5045,0.5111,0.4866,0.4955
1/9/1984,0.4955,0.4955,0.453,0.4688
1/10/1984,0.4688,0.4932,0.4688,0.4932
1/11/1984,0.4932,0.5089,0.4911,0.5
1/12/1984,0.5,0.5068,0.4932,0.4979
1/13/1984,0.4979,0.5045,0.4777,0.4866
1/16/1984,0.4866,0.5045,0.4845,0.4979
1/17/1984,0.4979,0.5134,0.4979,0.5111
1/18/1984,0.5111,0.5223,0.5021,0.5134
1/19/1984,0.5134,0.5268,0.5089,0.5179
1/20/1984,0.5179,0.5202,0.5045,0.5111
1/23/1984,0.5111,0.5202,0.5068,0.5155
1/24/1984,0.5155,0.5179,0.4732,0.4866
1/25/1984,0.4866,0.5155,0.4798,0.4821
1/26/1984,0.4821,0.5,0.4821,0.4932
1/27/1984,0.4932,0.4955,0.4577,0.4666
1/30/1984,0.4666,0.4755,0.4307,0.442
1/31/1984,0.442,0.4509,0.413,0.442
2/1/1984,0.442,0.4554,0.4375,0.4396
2/2/1984,0.4396,0.4464,0.4307,0.4443
2/3/1984,0.4443,0.4554,0.4375,0.4375
2/6/1984,0.4375,0.4375,0.413,0.4152
2/7/1984,0.4152,0.433,0.3995,0.4307
2/8/1984,0.4307,0.4375,0.4152,0.4152
2/9/1984,0.4152,0.4307,0.4041,0.422
2/10/1984,0.422,0.4464,0.422,0.4354
2/13/1984,0.4354,0.4396,0.4264,0.433
2/14/1984,0.433,0.4598,0.433,0.4577
2/15/1984,0.4577,0.4777,0.4443,0.4486
2/16/1984,0.4486,0.4554,0.4375,0.453
2/17/1984,0.453,0.4643,0.4464,0.4464
2/21/1984,0.4464,0.4688,0.4443,0.4666
2/22/1984,0.4688,0.4932,0.4688,0.4889
2/23/1984,0.4889,0.4889,0.4643,0.4798
2/24/1984,0.4798,0.4911,0.4798,0.4845
2/27/1984,0.4845,0.4911,0.4709,0.4821
2/28/1984,0.4821,0.4845,0.4486,0.4554
2/29/1984,0.4554,0.4798,0.4509,0.4688
3/1/1984,0.4688,0.4845,0.4577,0.4821
3/2/1984,0.4821,0.5,0.4798,0.4866
3/5/1984,0.4866,0.4889,0.4709,0.4777
3/6/1984,0.4777,0.4866,0.4577,0.4598
3/7/1984,0.4598,0.4755,0.4486,0.4732
3/8/1984,0.4732,0.4845,0.4732,0.4798
3/9/1984,0.4798,0.4798,0.4688,0.4709
3/12/1984,0.4732,0.4911,0.4732,0.4889
3/13/1984,0.4889,0.4955,0.4777,0.4821
3/14/1984,0.4821,0.4845,0.4732,0.4755
3/15/1984,0.4755,0.4821,0.4709,0.4777
3/16/1984,0.4777,0.4955,0.4709,0.4755
3/19/1984,0.4732,0.4732,0.462,0.4688
3/20/1984,0.4688,0.4777,0.4486,0.4643
3/21/1984,0.4643,0.4755,0.462,0.4643
3/22/1984,0.4643,0.4643,0.4486,0.4554
3/23/1984,0.4554,0.4598,0.4464,0.4554
3/26/1984,0.4554,0.4666,0.4509,0.4598
3/27/1984,0.4598,0.462,0.4443,0.4464
3/28/1984,0.4486,0.4577,0.4486,0.4554
3/29/1984,0.4554,0.4598,0.4509,0.453
3/30/1984,0.453,0.4554,0.4375,0.442
4/2/1984,0.442,0.4509,0.4375,0.4443
4/3/1984,0.4443,0.4486,0.4396,0.4464
4/4/1984,0.4464,0.4486,0.4375,0.4375
4/5/1984,0.4375,0.4443,0.4307,0.4307
4/6/1984,0.4307,0.4354,0.4107,0.4196
4/9/1984,0.4196,0.433,0.4196,0.4196
4/10/1984,0.4286,0.442,0.4286,0.442
4/11/1984,0.442,0.453,0.433,0.4375
4/12/1984,0.4375,0.4643,0.4307,0.4598
4/13/1984,0.4598,0.4709,0.4554,0.4598
4/16/1984,0.4598,0.4709,0.4486,0.4688
4/17/1984,0.4777,0.4979,0.4777,0.4911
4/18/1984,0.4911,0.5021,0.4889,0.5
4/19/1984,0.5,0.5068,0.4955,0.5045
4/23/1984,0.5045,0.5202,0.5,0.5068
4/24/1984,0.5068,0.5155,0.4955,0.4979
4/25/1984,0.4979,0.5021,0.4889,0.4932
4/26/1984,0.4955,0.5334,0.4955,0.5313
4/27/1984,0.5313,0.5491,0.5223,0.538
4/30/1984,0.538,0.5604,0.5334,0.5604
5/1/1984,0.567,0.5938,0.567,0.5938
5/2/1984,0.5938,0.5982,0.578,0.5893
5/3/1984,0.5893,0.5893,0.5536,0.5646
5/4/1984,0.5646,0.5646,0.5357,0.538
5/7/1984,0.538,0.5604,0.5334,0.5557
5/8/1984,0.558,0.5916,0.558,0.587
5/9/1984,0.587,0.6139,0.5804,0.5916
5/10/1984,0.5916,0.6005,0.5759,0.5916
5/11/1984,0.5916,0.5938,0.5536,0.5759
5/14/1984,0.5736,0.5736,0.558,0.5646
5/15/1984,0.5646,0.5736,0.5625,0.5693
5/16/1984,0.5693,0.5736,0.5423,0.5446
5/17/1984,0.5446,0.5446,0.5134,0.5202
5/18/1984,0.5202,0.5334,0.5134,0.5313
5/21/1984,0.5313,0.5759,0.5291,0.5693
5/22/1984,0.5693,0.5693,0.5357,0.5514
5/23/1984,0.5514,0.5557,0.5402,0.5402
5/24/1984,0.5402,0.5402,0.5155,0.5245
5/25/1984,0.5245,0.5334,0.5202,0.5268
5/29/1984,0.5268,0.5313,0.5155,0.5245
5/30/1984,0.5245,0.5268,0.5,0.5179
5/31/1984,0.5179,0.5313,0.5134,0.5245
6/1/1984,0.5245,0.5423,0.5223,0.5423
6/4/1984,0.5423,0.5491,0.5245,0.5291
6/5/1984,0.5202,0.5202,0.4955,0.4979
6/6/1984,0.4979,0.5202,0.4955,0.5179
6/7/1984,0.5179,0.5202,0.5021,0.5134
6/8/1984,0.5134,0.5155,0.5,0.5111
6/11/1984,0.5111,0.5155,0.5045,0.5111
6/12/1984,0.5111,0.5268,0.5089,0.5202
6/13/1984,0.5223,0.5334,0.5223,0.5313
6/14/1984,0.5313,0.5313,0.5134,0.5155
6/15/1984,0.5155,0.5245,0.5155,0.5179
6/18/1984,0.5179,0.5313,0.5068,0.5291
6/19/1984,0.5291,0.5423,0.5245,0.5245
6/20/1984,0.5245,0.5402,0.5134,0.5402
6/21/1984,0.5402,0.547,0.5179,0.5179
6/22/1984,0.5179,0.5268,0.5111,0.5111
6/25/1984,0.5111,0.5155,0.4821,0.4866
6/26/1984,0.4866,0.4889,0.4643,0.4643
6/27/1984,0.4643,0.4688,0.433,0.4509
6/28/1984,0.4509,0.4777,0.4509,0.4709
6/29/1984,0.4709,0.4955,0.4709,0.4732
7/2/1984,0.4732,0.4755,0.4486,0.4577
7/3/1984,0.4577,0.4598,0.4443,0.4509
7/5/1984,0.4509,0.4554,0.4354,0.442
7/6/1984,0.442,0.4554,0.433,0.4486
7/9/1984,0.4486,0.4709,0.442,0.4688
7/10/1984,0.4688,0.4845,0.4666,0.4798
7/11/1984,0.4798,0.4866,0.4666,0.4732
7/12/1984,0.4732,0.4845,0.4709,0.4755
